                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    141,                 1.0505,                 0.8376,                 1.1366,                0.79625,                0.66336,                0.75727,                0.53022,                0.97471,                0.71686,                 1.0658,               0.005413,               0.005413,               0.005413
                    142,                 1.0484,                0.83624,                 1.1373,                0.79483,                0.66378,                0.75713,                0.53023,                0.97399,                0.71656,                 1.0653,                0.00538,                0.00538,                0.00538
                    143,                 1.0489,                0.83599,                 1.1375,                0.79415,                0.66717,                 0.7579,                0.53074,                0.97401,                0.71628,                 1.0652,               0.005347,               0.005347,               0.005347
                    144,                 1.0476,                0.83613,                 1.1367,                0.79191,                0.66904,                0.75833,                0.53141,                0.97399,                0.71531,                  1.065,               0.005314,               0.005314,               0.005314
                    145,                 1.0465,                0.83519,                 1.1355,                0.79535,                0.66621,                0.75886,                0.53205,                0.97394,                0.71465,                 1.0652,               0.005281,               0.005281,               0.005281
                    146,                 1.0468,                0.83741,                 1.1383,                0.79516,                0.66882,                0.75916,                0.53201,                0.97397,                0.71401,                 1.0652,               0.005248,               0.005248,               0.005248
                    147,                  1.047,                0.83236,                  1.136,                0.79557,                0.66965,                0.75954,                0.53228,                0.97458,                0.71393,                 1.0658,               0.005215,               0.005215,               0.005215
                    148,                 1.0469,                0.83418,                 1.1378,                0.79972,                0.66693,                0.75936,                0.53226,                0.97441,                0.71419,                 1.0655,               0.005182,               0.005182,               0.005182
                    149,                 1.0453,                0.83124,                 1.1341,                  0.802,                0.66477,                0.75935,                  0.532,                0.97439,                0.71452,                 1.0657,               0.005149,               0.005149,               0.005149
                    150,                 1.0463,                0.83201,                 1.1344,                0.79954,                 0.6664,                 0.7594,                0.53265,                0.97413,                0.71427,                 1.0658,               0.005116,               0.005116,               0.005116
                    151,                 1.0444,                0.82903,                 1.1338,                 0.8002,                0.66543,                0.75954,                 0.5325,                0.97319,                 0.7136,                 1.0652,               0.005083,               0.005083,               0.005083
                    152,                 1.0439,                0.82961,                 1.1332,                 0.8005,                 0.6664,                0.76012,                0.53279,                 0.9729,                0.71287,                 1.0649,                0.00505,                0.00505,                0.00505
                    153,                 1.0421,                0.82854,                 1.1335,                0.79694,                0.66853,                0.75989,                0.53299,                 0.9727,                0.71175,                 1.0649,               0.005017,               0.005017,               0.005017
                    154,                 1.0445,                0.82936,                  1.134,                0.80422,                0.66521,                0.76025,                0.53338,                0.97279,                0.71189,                 1.0648,               0.004984,               0.004984,               0.004984
