                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    133,                0.69852,                0.33893,                0.92972,                0.96355,                0.94645,                0.95734,                0.73436,                 1.3385,                0.46623,                 1.5619,             0.00094636,             0.00094636,             0.00094636
                    134,                0.69008,                0.33364,                0.93072,                0.97088,                0.97866,                0.98244,                0.77212,                 1.2565,                0.44712,                 1.4513,             0.00094085,             0.00094085,             0.00094085
                    135,                0.68649,                0.33159,                0.91621,                0.97318,                 0.9704,                0.98374,                0.75004,                 1.3119,                0.46289,                  1.493,             0.00093535,             0.00093535,             0.00093535
                    136,                0.68524,                 0.3304,                0.92877,                0.98838,                0.97941,                0.98596,                0.75549,                 1.3025,                0.46762,                 1.4871,             0.00092985,             0.00092985,             0.00092985
                    137,                0.68594,                0.33935,                 0.9273,                0.98145,                0.97802,                 0.9818,                0.74831,                 1.3508,                0.46774,                 1.5711,             0.00092435,             0.00092435,             0.00092435
                    138,                0.72058,                0.34336,                0.93677,                0.98574,                 0.9765,                0.98197,                0.74523,                 1.3098,                0.48526,                 1.5063,             0.00091885,             0.00091885,             0.00091885
                    139,                0.68731,                0.32988,                 0.9227,                0.98648,                0.97901,                 0.9849,                0.74577,                 1.2983,                0.44764,                 1.4978,             0.00091335,             0.00091335,             0.00091335
                    140,                0.67526,                0.32974,                0.92388,                0.98578,                0.97955,                0.98741,                0.76944,                 1.2778,                0.44035,                 1.5258,             0.00090785,             0.00090785,             0.00090785
                    141,                0.67508,                0.32446,                0.92503,                0.98685,                0.97749,                 0.9876,                0.77243,                 1.2513,                0.44031,                 1.4471,             0.00090235,             0.00090235,             0.00090235
                    142,                0.66325,                0.32504,                0.92178,                0.98451,                0.97793,                0.98787,                0.76455,                 1.2564,                0.44292,                 1.4665,             0.00089685,             0.00089685,             0.00089685
                    143,                0.66541,                0.33173,                0.92172,                0.98034,                0.96974,                0.97887,                0.74442,                  1.288,                0.43943,                 1.4639,             0.00089134,             0.00089134,             0.00089134
                    144,                0.67872,                0.33112,                0.91581,                0.98201,                 0.9704,                0.97848,                0.74499,                 1.2967,                0.44696,                 1.4695,             0.00088584,             0.00088584,             0.00088584
                    145,                0.68516,                0.32625,                0.91305,                0.97453,                0.97151,                0.97713,                0.73401,                 1.3411,                0.46761,                 1.5832,             0.00088034,             0.00088034,             0.00088034
                    146,                0.67445,                0.32768,                0.92709,                0.98829,                0.98436,                0.98644,                0.72805,                 1.3613,                0.46825,                 1.5487,             0.00087484,             0.00087484,             0.00087484
                    147,                0.68084,                0.33219,                0.91924,                0.97438,                0.96884,                0.97591,                0.75342,                 1.3194,                0.45785,                  1.541,             0.00086934,             0.00086934,             0.00086934
                    148,                0.67833,                0.32698,                0.92293,                0.99073,                 0.9812,                0.98762,                 0.7585,                 1.2966,                0.43104,                 1.5351,             0.00086384,             0.00086384,             0.00086384
                    149,                0.68153,                0.32733,                0.91593,                0.99065,                0.98397,                0.98771,                0.75464,                 1.3165,                0.44924,                 1.5653,             0.00085834,             0.00085834,             0.00085834
                    150,                0.67578,                0.32503,                0.91744,                0.96931,                0.96646,                0.97983,                0.75099,                 1.3182,                0.44989,                 1.5384,             0.00085284,             0.00085284,             0.00085284
                    151,                 0.6555,                0.31645,                0.91126,                0.98457,                0.97293,                0.97753,                0.73592,                 1.3259,                0.46569,                 1.5156,             0.00084734,             0.00084734,             0.00084734
